,funds,link,location,title,created_date,summary
648,"
$200 raised of $25,000                    ",https://www.gofundme.com/satirical-trump-paintings,"Oakland, CA",Satirical Trump Paintings,"Created January 18, 2017",
649,"
$60 raised of $100,000                    ",https://www.gofundme.com/gop-for-aoc,"Washington, DC",GOP for AOC!,"Created February 15, 2019","In late 2018, the Republican Party received the greatest Christmas gift of all time, the election of Rep. Alexandria Ocasio-Cortez to the US House of Representatives. Not only is she one of the least informed elected officials in American history, her nonsensical, socialist trope is spread worldwide daily by legacy and social media.  

In early 2019, Rep. Ocasio-Cortez (self-nicknamed ""AOC"") introduced her ""Green New Deal"", which promised to eliminate air travel and cow flatulence within the next decade. When the raucous laughter died down, her comrades in the Democrat Party realized that she was serious and were forced to go on the record as for or against this economic asteroid landing. So far, every declared Democrat candidate for president has endorsed the Green New Deal out of fear of becoming the target of AOC's newly found giant megaphone. 

Most recently, AOC took credit for torpedoing the planned Amazon headquarters in New York that would have created 25,000 high paying jobs in her district.  Even the far left wing governor of New York and mayor of New York City were for this project that she scared away. 

Speaker Nancy Pelosi is pulling her hair out trying to manage her new crop of House freshmen who cannot stop embarrassing her with their ill-informed, racist, and anti-Semitism public statements. There is already an effort to try and primary AOC in 2020, but the GOP cannot allow that to happen. We need AOC to not only stay in Congress, but also to remain the medias #1 darling so that her daily maniacal delusions stay on the front pages for years to come.  

GOP for AOC will donate proceeds either directly to AOC's campaign or to a PAC who supports her politically. The high command of the Democrat Party is already conspiring to get rid of AOC, so it's up to Republicans to protect the longevity of her career! Donate today and Keep America Great!"
650,"
€20 raised of €950                    ",https://www.gofundme.com/oglach-michael-tobin-memorial-plaque, ,Óglach Michael Tobin Memorial Plaque,"Created April 9, 2019","LIEUTENANT MICHAEL TOBINÓglaigh na h’Éireann: Died 20th May 1919We are fundraising for a memorial plaque to mark the place where Volunteer Lieutenant Michael Tobin (aged 28) of 15 Bachelor’s Quay, Cork (originally from Ballineen), received wombs that lead to his death on the 20th May 1919. We are hoping to unveil the plaque at 33 Grattan Street, Cork, close to  the 20th May 2019 to mark the Centenary is death. All contributions greatly welcomed. (A Centenary Commemoration for Lt. Michael Tobin will take place on the 26th May 2019 in Ballineen, Co. Cork at his graveside at 1.30 pm). The event is being organised by the family of M. Tobin and the Michael Tobin Commemorative Committee). https://www.facebook.com/events/645037742621027/ Lieutenant Michael TobinAn officer of G Company of the First Battalion, Cork No. 1 Brigade, Irish Republican Army, Tobin was mortally wounded (with severe burns to his face, hands, and legs) by an accidental explosion when he and a number of Volunteer comrades were working with some twenty-eight pounds of black gunpowder. The accident occurred at a bomb factory established earlier in 1919 at 33 Grattan Street in Cork city, the location of a three-story tenement house and of shoemaker Andrew Ahern’s boot shop on the front ground floor. (Ahern’s residence had a Blarney Street address, and the explosion took place in the kitchen, located immediately behind the boot shop. Mrs McMahon, who occupied the apartment overhead and was engaged at a washtub, ‘was hurled across the apartment and was picked up in the yard in a practically unconscious condition’, suffering ‘from some ugly scalp wounds and an injured knee’.) Volunteer Matthew O’Callaghan reported at the time that Lieutenant Michael Tobin had been killed, while four other Volunteers (members of G Company of the First Battalion) and a member of Cumann na mBan had been wounded in the explosion but had recovered from their injuries. The wounded Volunteers were Captain Richard Murphy, Quartermaster Seán O’Connell, P. Varian, and Jeremiah Downey. Miss C. (Bessie) Moore of Anne Street was the wounded Cumann na mBan member. At this facility haversacks were made, gunpowder was ground, and bombs were assembled. (See Matthew O’Callaghan’s WS 561, 1 (BMH)). Tobin died on 20 May 1919; the inquest was held on the following day at the Mercy Hospital in Cork city. At the inquest Cornelius Tobin testified that his deceased brother Michael was an unmarried draper’s assistant, aged about 28, and a resident of 15 Bachelor’s Quay in Cork city. At the time of Tobin’s death, the British occupying forcing announced that ‘between 200 and 300 bombs were discovered in barrels in the ground under the flooring of the house in which the explosion occurred’. When Tobin’s remains were removed from the Mercy Hospital to a city church on 21 May, ‘there was an imposing Sinn Fein demonstration’. ‘The remains were accompanied to the church [SS. Peter and Paul’s Church] by large numbers of Volunteers, Fianna Boy Scouts, Citizen Army Boy and Girl Scouts, Cumann na mBan, and Clan na nGaedheal Girl Scouts, as well as members of the general public, and the imposing character of the cortege attracted a considerable amount of attention along the different streets. It was evident that the death of Mr Tobin under such tragic circumstances evoked widespread regret, and many evidences of the grief caused were forthcoming. The route followed was Western Road, Great George’s Street, Grand Parade, South Mall, Winthrop Street, Pembroke Street, and Patrick Street. Large crowds lined these thoroughfares and paid their marks of respect to the memory of the deceased. The procession was headed by a few companies of Volunteers, followed by the Irish Volunteers’ Pipers Band playing music appropriate to the occasion, and [they] were followed by the hearse containing the coffin, which was covered with the Republican flag and attended by pall-bearers. Next in order came companies of Volunteers walking four deep, and without uniform, and they were followed by the Girl and Boy Scouts and Cumann na mBan, the majority of whose members wore uniforms. It was a remarkably large and most imposing spectacle and was witnessed by thousands of people along the route.’ Tobin was interred in the family burial ground beside the Church in Ballineen. Many years later, former Volunteer Seán O’Connell, one of the wounded, recalled the explosion and its aftermath: ‘One evening we received word that the police were prowling around in the vicinity of Grattan Street. Fearing our arsenal would be discovered and captured, we decided to remove it to a place of safety. On the night in question Dick Murphy, our company captain, Miceál Tobin, and myself went into Hearn’s [Andrew Ahern’s] and proceeded to empty the tins of powder into linen bags outside of which was a coarser type of bag. Dick and Miceál were holding a bag and I was emptying one of the tins into it when all of a sudden a terrific explosion occurred. I was blown clean through a window of the room and was badly burned on the face and back. Dick Murphy also received serious burns, as did Miceál Tobin. Two other men of our company with a Mrs Hegarty were just about to enter the room when the explosion occurred. They were extremely fortunate to escape serious injury. Dick Murphy was removed to the North Infirmary, where he was treated and subsequently recovered. Miceál Tobin and I were taken to the hospital of the Sisters of Mercy, where poor Tobin died.’ See Seán O’Connell’s WS 1706, 3-4 (BMH)."
651,"
$13 raised of $1,800                    ",https://www.gofundme.com/medical-mission-ttbm-dominican-republic-2019,"Philadelphia, PA",Medical Mission - TTBM Dominican Republic 2019,"Created January 2, 2019","Dear Family, Friends, and Benevolent Donors,I am planning to participate on a medical mission trip from May 24th-June 2nd in the Dominican Republican. I will be volunteering with Team Tampa Bay Missions Inc, a Florida non-profit that leads medical mission trips primarily to the Dominican Republic and Haiti. Their trips have been an ongoing effort for many years to provide medical care to the people who work in the sugarcane fields or live in impoverished areas of Hispaniola. We will have a team of medical professionals and volunteers to help provide care, compassion, and education to the people in the villages and surrounding areas. We will be taking medical supplies, medications, clothing, and other donations that have been collected by members of the group. Every trip we hope to take over 1000 pounds of medications and supplies to meet the needs of the local people that we will serve. All of these supplies are being donated or purchased through our fundraising efforts among family and friends. Every dollar sent will go directly to the people in the most need. The materials and supplies we purchase here will make it possible for our work to continue in these areas of need. Last year I traveled to Haiti and worked in a clinic in Mirebalais through TTBM. Serving in Haiti was such a life changing experience, and with your help last summer, I had a similar experience in the Dominican Republic shortly after. I am once again asking for donations for this year's mission trip to the La Romana province of the Dominican Republic . I am excitedly awaiting my return and am grateful to have been afforded the chance to be reunited with many people we treated last year. If you would like to contribute a monetary gift to aid me and the organization on this amazing trip, you can send your donation in multiple ways.Send a check “Team Tampa Bay Missions Inc.” (or “TTB Missions Inc.”) and note “Dominican – Robert Bedford” in the memo section. Team Tampa Bay Missions Inc. 3152 Little RoadSuite 333Trinity, FL 34655-1864.gofundmeYou may donate directly through this gofundme campaign.I appreciate your consideration in helping with this mission and our teams success. I was truly blessed to have the opportunity to serve in Haiti and the Dominican Republic last year. I look forward to serving again this year with your assistance.If you would like to follow our group and see photos of our trips, like the Facebook page https://www.facebook.com/ttbmissions/ Sincerely, Rob BedfordMore information about Team Tampa Bay Missions Inc.: Team Tampa Bay Missions Inc. is a Florida based nonprofit that works to provide medical assistance to underserved populations. Currently we lead an annual medical mission trip to the Dominican Republic that consists of medical and nonmedical volunteers. Our goal is to expand our volunteer efforts both locally, in the Tampa Bay area, and around the world. Visit us at www.ttbmissionsinc.org for more information."
652,"
$100 raised of $2,500                    ",https://www.gofundme.com/the-peace-show-los-angeles,"North Hollywood, CA",The Peace (Art) Show Los Angeles,"Created September 18, 2018",
653,"
$25 raised of $1,000                    ",https://www.gofundme.com/shutdown-help-me-eat,"Charlotte, NC",Still Healing....After Shutdown,"Created January 13, 2019",
654,"
$50 raised of $2,000                    ",https://www.gofundme.com/kgrdk2-start-up,"Los Lunas, NM",Start up,"Created January 23, 2019",I would like to start a podcast I have some video on YouTube. As the Midwest Mad Man. I would be happy with donated equipment. I'm not a Republican or Democrat I am a Amputee American citizen that's tired of the BS. If a business will advertise your business.                  Thank you
655,"
$100 raised of $10,000                    ",https://www.gofundme.com/help-the-homeless-instead-of-the-wall,"Ozark, AL",Help the Homeless instead of the Wall,"Created December 21, 2018","We have many homeless people in our country. Both Democrats and Republicans Conservatives and Liberals want to do something about this. We have veterans, the sick, poverish people on the street. I have heard from both sides “We have to take care of our own first before letting refugees in.”  Well here is your chance. Instead of donating to the Wall, make an actual difference and help the people you care about. Help the people we are suppose to be helping. Give back to the community and show love to your brothers and sisters instead of building the wall. This money can go for something more profitable and more productive.Every single dime i am raising will be going straight to Habitat for Humanity."
656,"
$20 raised of $10.0M                    ",https://www.gofundme.com/Investigate-Congress,"Andover, KS",Investigate Congress,"Created February 12, 2019","Its time we investigate congress! Democrats and Republicans alike. Lets look at their tax returns to find how so many have become multi-millionaires. Lets look at the sex scandals and the slush fund paid for by taxpayers! This fund will be used to hire lawyers and investigators to file law suits,  freedom of information filings and make the results public. Donate today and lets get started!!!!"
657,"
$100 raised of $3,000                    ",https://www.gofundme.com/desperate-and-afraid-amid-federal-shutdown,"Miami, FL","AMID FEDERAL SHUTDOWN, HELP ME, HELP OTHERS","Created January 16, 2019","It's not that I don't care, it's not about agreeing or disagreeing about the security of this country.  It's not about being a republican or a democrat.  It's not even about my ethnicity.  It's simply about being human.  I am a federal employee, that wants and needs to feel proud again.  I will continue to work for free, because I believe in what I do,  I believe in my home.   But at what cost, us?  I am part of 800,000 individuals that wonder how we will continue to survive while being used as pawns.  Bills are mounting, my daughter graduates in a few months, what am I to do.  I have bills, medication to purchase, food to buy, a life to live.  We, are 800,000.  I may not be able to help us all, but, My main goal is to help all those in my office that need the help.  The feeling of being let down, used, and abandoned is wide spread.  I need to help who I can, but I need your help to do that.Even if it's to bring in lunch everyday, or help someone with their light bill, or put food on their table.  Help me, help them. Please."
658,"
$10 raised of $10,000                    ",https://www.gofundme.com/10000-retainer-for-help-to-sue-amp-end-flat-earth,"Oxford, MS",Help Put The Flat Earth Movement On Trial,"Created August 17, 2019","First of all, this is real.  I won a simple contest posted online by a Flat Earth believer to produce two proofs that the earth is a ball.  As a Software Engineer, this was not difficult for me.  The Flat Earther was stunned and befuddled.  He immediately starting trying to find ways of not paying up and so, after  I took him to Small Claims Court in Barrow County Georgia.  But it was a bit much for that venue and was too atypical for a Magistrate.  So the court of appeals has decided that it required a ""denovo"" trial and now the case is scheduled for December 16th in Superior Court in Winder Georgia.  No one succeeds in this world without failure.  I failed to convince the legality of all this to the small claims court judge  but I think with your help and participation I will absolutely win the case in Superior Court.  I am not asking you to believe me.  But I am urging you to please check this out for yourself.  Currently it has made a huge impact all over social media in the Flat Earth community because the Flat Earth plaintiff is insisting that he actually won and the flat earth is legally a reality now.  It is a buzz all over the internet.  Just google it for yourself.  And now, please read the rest of this page...----------------------------------------Wouldn't it be wonderful if, by some chance, there was a court battle where the Flat Earth movement was confronted?  If you actually believe that the Earth is flat, you too should want such a serious contest to take place.Well, if you help, this will happen and be given the professional and intelligent examination that it demands.If the earth is shaped like a ball, and I can show that it is, shouldn't this nonsense be put to rest for the sake of our children and the future?It all started with a contest.  After I completed a contract as a software engineer at Microsoft in Redmond, Washington, I noticed that someone who claims to believe that the earth is flat was conducting a contest challenging anyone to prove the earth is a ball. As a senior software engineer, it was no difficult for me to make two proofs, as the contest instructed. I did it in the form of two useful computer programs that accurately predicted some common events that we observe in reality. It used data from the fact that the earth is a ball to:#1  Determine how much time passes from seeing sunset from the ground level versus from the observation deck of a skyscraper.#2 Determine how much mega-structure suspension bridge towers have to be further apart from each other at their tops versus their base despite being plumb line straight up and downif you want to read the two proofs, here are their documentations:Here are the links to the two proofs:http://www.arguemax.com/documents/edited_zen%20proof%20one.pdf http://www.arguemax.com/documents/ZEN%20PROOF%20TWO%202.pdf If you follow the steps in the document, you too can prove to anybody that the earth is really a ball.  The math involved in this is kind of complicated, I admit, but anyone can do it if they have the time.   There is a program that I use to do the math, but even if you do not understand C++,  you can look at the code and figure out how the math is done. It can be done with a sheet of paper and a pencil, but I made the effort to put it in a software program as a tool.  That originally this is was what computers were meant to do.  They were meant to compute.  Today when you say ""software"" one usually thinks of a tool like Microsoft Word or maybe a video game. But this is nothing like this.  Here, see for yourself.  They are just each one page of math:https://github.com/xarzu/Bridges---Part-1/blob/master/Bridge/Bridge.cpphttps://github.com/xarzu/Tower-Test/blob/master/TowerTest.cppHere is a summary of the one proofhttps://www.youtube.com/watch?v=0pI2Toqj1JwHere is a summary of the the other proofhttps://www.youtube.com/watch?v=k5wmg02l4S8&t=62s And if you would like me to read to you the whole proofs, I have this as well:Here is the first proofhttps://www.youtube.com/watch?v=DdjB15AFaTg&t=54sHere is the second proof:https://www.youtube.com/watch?v=CSiYfsrfbcE&t=22sI satisfied the conditions of the contest.   But he did not pay up.  So I took him to small claims court.   The ""trial"" t was not as I had expected.  I guess I expected an episode of ""The People's Court"" where the judge sat and patiently asked questions. and pondered and got to the heart of the issue and chose wisely.   Perhaps I expected the judge to rely on what is considered common knowledge and simple high school algebra.    I do not want to say anything bad about the judge.   Frankly, I do not know what went wrong,   But maybe everything went right   Because now there is a new trial in Superior Court being conducted ""de novo"".   And according to Wikipedia:""In law, the expression trial de novo means a ""new trial"" by a different tribunal. A trial de novo is usually ordered by an appellate court when the original trial failed to make a determination in a manner dictated by law.""So now, I want to take this much more seriously and do this right.  I am told that no one is successful unless they first fail. this time, I have been roped into what I assumed would be a very easy win the first time around.If you do not think this is worth your participation, I do not know what to tell you.  The importance of fighting this is self-evident to me.  I am reminded of the great James Randi when he mused that he did not understand why everyone would want to debunk scams and guide people to the truth out of the darkness.This is really just a symptom of a much greater crisis.  This thing does not exist in countries that have the better education.  This only exists in countries where the standard of education is very poor.     Perhaps I could get some sort of educational grant, but I do not imagine that getting a grant would be likely.  More money should come from donations from the public.  No matter if you are Democrat or Republican, this is something that will make America actually great again because it just might end The Flat Earth Movement.  And, by the way,  maybe this is why China is killing us in trade and they have great education system.  I wonder if they would donate more money to us to help us out.   I have just come from China.  I was there about a month ago from the time I am writing this.  They do not waste their time hating their president.  They are focused on bettering their lives and the lives of their children.  Maybe more Americans should be like this.  Some of the Chinese I met acted more American than the vast majority of the Americans I know.And I lost 20 pounds there because I was eating the right kinds of foods.  So, how about this.  Instead of getting fast food one day, take that money you would otherwise spend and donate it to this instead.  It will be a wiser investment in your overall health knowing you have contributed to something good.This time around, I plan on subpoena some heavy hitters in the scientific community and get some news coverage.  Subpoenas can be expensive and sometimes the process can  cost only a few dollars.  So, literally, no amount is too small.  What you give could take us over the top and make a real difference.  Imagine of you-know-who gets on television and says, ""thankfully, we have actually done something to save the country from ruin"" and you can brag to all your friends that you played a part in making that happen.If you are Christian, you should really want to help out.  The Flat Earthers are using the literal interpretation  of scripture to support their cause.  If you do not believe me, have a look at the web site, http://www.geocentricity.com/  and their promotion of the idea that the earth is at the center of the universe mainly because the literal interpretation of the bible says it is. This can only make people stop going to church.  I know what you are probably thinking.  I was shocked to find a flyer this group mailed out once.What more can I say?  If you can think of anything, please tell me.How about this?  The Flat Earth Movement is very bad for kids.We are drawn to the trick of believing what makes us feel good and then find facts that support the belief that we have chosen to believe.It is called presupposition. And it is not good.  But it can make you feel good and so there is a kind of reward for thinking this way. I am talking about what is called the “pleasure and reward” system.  Often it is more comforting to find a way to stay convinced of something while it is uncomfortable to challenge it.  It is like a game our brains play where it is more important to be convincing than truthful.But here is why all this is important.   In the real world that we live in today, it is becoming increasingly urgent that people start thinking logically and they avoid this proverbial opiate of a way of thinking because it is damaging and it is especially damaging  to children.  Children naturally accept as truth whatever their authority figures tell them what is true. This is why this kind of hokum needs to be fought because it will get in the hands of children who will accept it as truth.A lie has a has a very particular characteristic that the truth does not have. A lie is information that will eventually lead to a dead-end. It will lead to a place where someone can end. It will lead to a place where someone can not further themselves.  The truth is exactly the opposite of that. The truth will open up doorways and lead to more and  more opportunities and more opportunities –– especially for young people.If you teach young people a lie (that a falsehood is true), you are, in a sense, harming them.   But you are harming them on an extremely deep level. You are limiting their capacity to have a meaningful and purposeful life. You are limiting their capacity to earn an income.  As far as the Flat Earth mindset is concerned, if you they happen to get this garbage in their brains at a young age, they will not have the critical thinking skills to compete in the high tech world they will be thrust into.   You are limiting their capacity to earn an income. And you are hurting the economy hurting the economy of this country as a result.  They will be denied the tools to compete on a world state where they will be facing off against people who were taught science and logic.There are other aspects of this I can mention, but this should be enough.The people I met in China were very honest, compassionate, helpful and giving.  Maybe they should help us out.  I will make this a friendly competition, let's go, Team USA!现在，我在这里向中国所有人发送信息。 向美国人民展示您对他们的关心，并帮助他们停止愚蠢和缺乏教育。 所有的钱都将花在阻止他们荒谬的平地运动上，并使他们脱颖而出。 奉献这一事业将帮助世界。 付出比接受更好。 您所提供的将团结世界。 它让我们向人民展示爱，同情和关怀。 然后我们的政府将效法我们I know a lot of people will say that the Flat Earth Movement is ""crazy"" and/or ""stupid"".  But please ask yourself.  What is worse: The Flat Earth Movement, or ignoring the opportunity to enlighten these people?"
659,"
$1,300 raised of $9,701                    ",https://www.gofundme.com/recall-petition,"Summerville, GA",Recall Petition,"Created May 24, 2019","
 

My name is John Agnew, I am 74 years old, a lifelong resident ofChattooga County and a conservative Christian Republican.  I was the first elected Republican for school board in Chattooga since reconstruction (although one incumbent Democrat did switch to Republican that same election).  I was elected in 2016 to the Chattooga School Board defeating a well-established Democrat incumbent. My motive was, and still is, to provide the best education possible for our children.  Being the sole Republican on a 5-man school board , I was  never able to bring important motions to the floor for a vote. The board was simply a rubberstamp for the school superintendent.  Consequently there waslittle controversy because there were no in-depth discussions of the system.In 2018 three Democrat incumbents were up for election and three well-qualified Republicans stepped up to challenge the Democrats. The driving issue in the election was a return to a five-day school week which the Democrats, the school administration and many teachers opposed. The debate was public and intense lasting for several months. Election night all three Republicans won their seats on the ChattoogaSchool Board and I was elected Chairman by the new  Board. As with the 2016 Trump election and 2018 Kemp election the local Democrats (some of whom call themselves Republicans) refused to accept the election results.In January 2019, after the Board of Education members were sworn in, the personal attacks against all board members started immediately.   The current Republican Board members continue to be ridiculed and demonized by many on social media, demanding their  resignation and allowing their replacement  by the previous Democrat incumbents.Cassie Bryant and Allan Baggett,  started a recall effort to remove me from office. They would have attempted to recall the other Republican School Board members but I was the sole one in office for the required 180 days. The recall had no basis in fact, but I as an individual would have to bear the legal cost to fight the attack in court. The monetary cost was enormous but emotional cost has been worse. I could have resigned instead of fighting but allowing the Democrat tactics of bullying and intimidation to impose “mob rule” on our local government was not acceptable.  You are aware these tactics of personal attacks, public ridicule, and use of the legal system to financially punish Republicans who have the gallto win an election is being carried on at the National (Trump) and the State (Kemp) levels.  They are now being used against the most local of elected officials, the School Board.  This is everyone’s fight and I am asking you to join me.  Friends, I have been burdened with $9,701.53 in legal fees to defeat the unfounded recall petition and I need your help.  Any contribution will not only provide financial support but also give much needed emotional support by knowing I am not fighting alone.  I will certainly answer any questions you might have.  Thank you for your help in advance. Sincerely,John Agnew
"
660,"
$100 raised of $25,000                    ",https://www.gofundme.com/trueindependence,"Oakland, CA",True Independence Non Profit,"Created July 4, 2019","The goal of this fundraiser, is to be able to have the funds available to create a non profit. To be able to have the time to work on the non profit and pay volunteers as well as the needed fees for it to come to life and survive long enough to be able to create fundraisers to longer sustain the non profit. The non profit I wish to create, is one that will help people rich and poor by incentivising TAX DEDUCTIBLE donations towards an organization that will help people in any way they need. There are 420 thousand plus people in my home town of Oakland, California as of now, and we are all paying taxes and fees to help run this city yet don't have say or the time to understand what our taxed income and tolled roads are used on. I want us all to use this non profit as our own, not mine, to do what we need for us to thrive. Need affordable childcare? You will be helped so you may go to school or work without worry and advance your life in whatever it is that makes you happy because nothing is better than being paid and surviving in life doing what you love. Do you use or drive for rideshare companies? Apps and programs will be created to help you earn more driving and have the payments made that you ""donate"" to these apps and programs help feed the non profit for further function that will help people and the environment. Wish your job paid you more? This non profit will use funds to create businesses known as cooperatives that will give you an actual piece of the pie made from the business. The non profit will generate more money through donations due to daily updates of goals achieved and weekly town halls with participants (any one interested in bettering the community in any way possible) to discuss community issues and how to solve them (potholes, garbage dumping, renewable energy, helping local businesses). I do not want money I simply want to help the economy and community. We are together worth tens and if working together well, hundreds of thousands of dollars a week to help ourselves and not depend on government. This non profit will also help and partner with other non profits aimed at helping the community of with knowledge and health for beautiful advancement. The best thing one can give is knowledge. The knowledge to advance in life in every way possible and its never too late to learn something neither is anyone too young to know the reality we are living in. We must take action not only for our future but for our children's. I take no sides not a Democrat or Republican. I consider myself a true independent. I am on the side of helping and loving anyone and everyone from all walks of life. Racism and hate isnt in our nature it is taught and pushed, dividing us all when we are all actually one. I hate no one and never will because everyone deserves love and happiness and the best way to provide that is through communication and understanding. I envy no one and wish everyone the best because everyone deserves to be happy as long as they hurt no one in the process. And i do not wish to hurt anyone in anyway ever on the contrary, I wish to help and bring everyone together to understand what life is about and its simple: To love one another and do whats right for ones self and everyone else. Point is. Anything is possible. And with this non profit, the goal is to increase everyone's quality of life by creating a real community determined to be independent and fruitful. Thank you.  A bit about myself: I am a young father and entrepenour driving for uber and lyft to raise funds and provide for my 5 year old son suffering seizures from a disease called tuberous sclerosis. "
661,"
$110 raised of $3,800                    ",https://www.gofundme.com/no-politics-just-life,"Carrollton, TX",No Politics Just Life,"Created January 23, 2019",
662,"
$50 raised of $200,000                    ",https://www.gofundme.com/support-justin-amash039s-courage,"Anoka, MN",HELP JUSTIN AMASH HOLD PRES. TRUMP ACCOUNTABLE,"Created June 11, 2019","President Trump has repeatedly embarrassed this country, has committed crimes, compromised our security, attacked almost all our distinguished esteemed American figures, attacked our war heroes, sided with Putin over our own intelligence officials among other things. Only Rep. JUSTIN AMASH of Michigan has had the courage, the spine, and the patriotic bravery to stand up to this gutless coward, insecure, narcissistic racist and porn loving adulterer president. JUSTIN AMASH has demonstrated political independence, has put at stake his political career. With his stance against Trump's corrupt behaviors, he has been attacked by his fellow Republicans and by shameless Trump himself.  Justin now needs our help and our support. Please donate to keep him in office and to keep him speaking in defense of our constitution, our morals and our American pride."
663,"
$50 raised of $400,000                    ",https://www.gofundme.com/consent-of-the-governed-rock-your-rights-america,"Ozawkie, KS",Consent of the Governed - Rock Your Rights America,"Created November 24, 2018","
This group is dedicated towards the signature drive for the ""Declaration of the Governed"" Petition and providing information about the Consent of the Governed - Rock Your Rights America Tour.This Declaration was written using the language of the original Declaration of Independence but with today's issues, an approach once used by the Women's Suffrage Movement. It is sobering indeed to compare the issues we currently face to the issues of Revolutionary times. Our goals are to gather 2 million or more signatures, through 10 or more music festivals as we tour across the country, ending at the White House where we will deliver this Declaration to the President, the entire Congress and the Supreme Court of the United States. This is a bi-partisan effort, not a Republican or Democrat, Black or White, Gay or Straight, Christian or Muslim effort; This is an American effort!It is time that to unite to send the message that the governing class only governs by and through the Consent of the Governed. It is time to hold those who corrupt our government accountable!First Amendment - Constitution of the United StatesCongress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.Gettysburg Address - excerpt""It is rather for us, the living, we here be dedicated to the great task remaining before us that, from these honored dead we take increased devotion to that cause for which they here, gave the last full measure of devotion that we here highly resolve these dead shall not have died in vain; that the nation, shall have a new birth of freedom, and that government of the people, by the people, for the people, shall not perish from the earth.""Abraham LincolnNovember 19, 1863 The Petition for the Declaration of the Governed can be seen and signed here. Please share as far and wide as you can.

https://www.change.org/p/president-of-the-united-states-call-to-action-consent-of-the-governedPlease consider donating a few dollars towards the expenses involved with gathering signatures, touring the nation and delivering this important message to our government!
"
664,"
$2,705 raised of $1,750                    ",https://www.gofundme.com/freddiedeboer,"Lafayette, IN",Christmas Funding Drive,"Created December 11, 2014","Hey guys, so a few things are coming together for me at once: traveling home to Connecticut for the holidays, gearing up for campus visits, and a grant for a research project coming to an end. I'm asking readers to pitch in whatever they can, if they feel like it. Anything would help a great deal.In the past year, I've been attacked by men's rights activists for saying that traditional masculinity has to die and by those in the Tumblr social justice movement for arguing against the faux politics of social sorting; by libertarians for disputing the notion of meritocracy and by leftists for opposing hate speech laws; by Republicans for criticizing Israel and by Democrats for criticizing Obama. I figure if I've made that many people mad, I must have gotten some of it right."
665,"
$1,575 raised of $10,000                    ",https://www.gofundme.com/anthony-beckman-fundraiser-class-468,"Evanston, IL",Anthony Beckman Fundraiser (Class #468),"Created October 21, 2019","On Wednesday August 14th, the Beckman's family life changed drastically overnight.  Anthony Beckman, a loving husband to Miranda and father to little Anthony was diagnosed with Acute Lymphoblastic Leukemia Philadelphia positive, also known as ALL PH+.  Anthony coached baseball for Oriole Park District & Immaculate Conception football as well as being an active member in the community.  He is a 17 year veteran of the Norridge Police Department and the Republican committeeman of Norwood Park Township.  He is a friend to all  and is well liked by the community.Anthony's treatment journey began  with intensive Chemotherapy and will  extend for 8+ months ending with a possible bone marrow transplant.  With your help,  the Northwestern University School of Police Staff and Command Class #468 would like to lift the Beckman family up in spirit  as well as through raising funds to help cover extensive medical bills they will undoubtedly encounter during this journey."
666,"
$2,915 raised of $4,000                    ",https://www.gofundme.com/GLAPeruLumay,"Houston, TX",GLA Service in the Sacred Valley,"Created December 4, 2016","Hi my name is Lumay. I am raising money so I can participate in a 14 day community service program in August this summer. While I am in Peru I will be volunteering in a small village, learning about public heath issues, and constructing food production systems with an organization called Global Leadership Adventures. This will be my second trip with GLA and I hope to learn a lot more from their amazing mentors and local experts.In these last  few months since my trip to the Dominican, I have been designing a support group for mothers with kids with mental disability. During the time I was planning I realized that I lacked the resources and the experience to create my program fully. This year I have decided to use the GLA platform to learn more about social issues and how to create my programs. I will be going on the Peru: Service in the Sacred Valley, the two-week trip August 1 to August 14th. There I will learn about all of the global issues that affect Peru while experiencing their colorful culture and incredible history. While I am there, I will help make a food system in a local community, learn about the countries ongoing nutrition problems, visit a Non-profit organization and learn about Peru's public health. Also, I will also experience a different culture and discover various historical landmarks. However, most importantly I will get guidance to create my support group and will be inspired to come up with my solutions to global problems.   I might not make a big change to the world, but I would like to think that I am helping one person at the time, one family per project, one community for trip. I want another opportunity to see the smiles of those kids in Dominican Republican when we finished their playground or the very thankful man who had a brand new house. I will spend two week of very hard work in Peru and I am sure that with your help I will be able to bring back some of those moment capture in picture for you to enjoy with me.I would really appreciate your financial support to help me fundraise for this trip. My final goal is to raise $4000 by the end of March 2017."
