funds,link,location,summary,title
"
$2,815 raised of $4,000                    ",https://www.gofundme.com/winning-the-midterms,"Damariscotta, ME",Lincoln County Indivisible  is running the second of our three full-page iss…,Winning the midterms
"
$10,576 raised of $10,000                    ",https://www.gofundme.com/families-belong-together-washington,"Seattle, WA","On June 30, 2018  immigrant organizations, allies, and concerned…",Families Belong Together WASHINGTON
"
$1,630 raised of $5,000                    ",https://www.gofundme.com/relocating-to-resist-fund,"Austin, TX","Hoping to meet campaign goal by January 10th, 2018.  In September, …",Relocating to #Resist Fund
"
$4,835 raised of $100,000                    ",https://www.gofundme.com/laryngeal-cancer-requires-surgery,"Cartersville, GA",*** !!! Help Help Help !!! *** Though I am not normally the type of person …,Laryngeal Cancer requires Surgery !
"
$3,200 raised of $3,190                    ",https://www.gofundme.com/zs2a4cp4,"Chicago, IL",Update:  I initially didnt go public with this because I didnt want to troubl…,"unemployed, job hunting, need  help"
"
$565 raised of $700                    ",https://www.gofundme.com/c4ynp-usa-citizenship,"Tonawanda, NY",I’m raising $700 for a very close friend of mine who is from Trinidad …,USA CITIZENSHIP
"
$4,580 raised of $10,000                    ",https://www.gofundme.com/funny-ha-ha,"Brooklyn, NY","Hi, I'm Ash.                                     *************DONATE TO GET A C…",Let's Make a Memoir!
"
$4,643 raised of $30,000                    ",https://www.gofundme.com/politicsanotherperspective,"Silver Spring, MD",I am here to ask your help as I launch the tour to promote my new book “…,Politics Another Perspective
"
$4,305 raised of $4,000                    ",https://www.gofundme.com/kids-politics-dont-mix,"Portland, OR","I am not very vocal about my political beliefs, but I am  very vocal about …",Kids & Politics don't mix
"
$5,309 raised of $300,000                    ",https://www.gofundme.com/troen-for-congress-2020-florida-district-10,"Ocoee, FL","Fellow Floridians,  My name is Kirk Troen and I'm running for Congres…",Troen for Congress 2020 Florida District 10
"
$13,988 raised of $20,000                    ",https://www.gofundme.com/robcressen,"Shrewsbury, NJ","Support Rob Cressen in his Fight Against CRPS/RSD For seven years,…",Support for Rob Cressen
"
$1,970 raised of $3,600                    ",https://www.gofundme.com/dashboard-268ehvng,"Stanwood, WA",I have been supporting Ted Cruz for President for over 2 years.  I bega…,"Elected as Cruz Delegate, WA State"
"
$10,678 raised of $150,000                    ",https://www.gofundme.com/save-the-soap-let039s-help-buy-that-building-back,"Minneapolis, MN",summary was NoneType,SAVE THE SOAP! Let's help buy that building back.
"
$2,500 raised of $2,500                    ",https://www.gofundme.com/25m2mc84,"Anacortes, WA",Hey all!  It's been a while since I've had a cause of the type to approac…,Tim's Journey to the DNCC
"
$1,725 raised of $5,000                    ",https://www.gofundme.com/steventocleveland,"Albuquerque, NM","Let me Introduce myself, my name is Steven Baca, I was elected as an Al…",Time To Take a Stand in Cleveland !
"
$600 raised of $600                    ",https://www.gofundme.com/send-reid-publishing-to-the-state-convention,"Tulsa, OK",The Oklahoma Republican State Convention is just days away and th…,Send Remnant Rising to State Convention
"
$2,491 raised of $5,000                    ",https://www.gofundme.com/stroke-has-left-me-in-need-of-your-help,"Los Angeles, CA","In 2017, I suffered a stroke. To say it changed my life isn't enough. It kill…",Stroke has left me in need of your help
"
$1,230 raised of $10,000                    ",https://www.gofundme.com/let-nelson-stay,"Philadelphia, PA","Nelson Moncada Bucardo, a 24-year-old Philadelphia resident,  is a cari…",Let Nelson Stay
"
$6,127 raised of $15,000                    ",https://www.gofundme.com/secret-guerrilla-theater-fun,"Los Angeles, CA","Comrades! I must write quickly, as the government is monitoring publi…",Secret Guerrilla Theater Fun
"
$1,005 raised of $2,804                    ",https://www.gofundme.com/help-everyone-vote,"Philadelphia, PA","My Story:  Like many of you, I consider voting in this upcoming m…",Help Everyone Vote
"
$5,195 raised of $10,000                    ",https://www.gofundme.com/BobVTN4G,"Waterbury, CT","Imagine being trapped inside your own body. Your mind is still sound, y…",Bob Veillette: #TakeNothing4Granted
"
$1,571 raised of $1,500                    ",https://www.gofundme.com/peter-douche-parody-site,"West Sacramento, CA",DoucheLeaks is coming! To fight the growing censorship on Twitter and …,DoucheLeaks - Media Parody Site
"
$3,190 raised of $3,000                    ",https://www.gofundme.com/mary-jane-irwin-o039donovan-rossa-doc,"Brooklyn, NY",~~~THANK YOU FOR SO MUCH SUPPORT SO QUICKLY!  THERE IS…,MARY JANE IRWIN O'DONOVAN ROSSA DOC
"
$1,600 raised of $30,000                    ",https://www.gofundme.com/fred-gattuso-for-mayor-fund,"Carteret, NJ","Hello everyone,  My name is Fred Gattuso and I am running for May…",Fred Gattuso for Mayor
"
$4,174 raised of $5,000                    ",https://www.gofundme.com/v8gumh78,"Dallas, TX","Our dear friend Joshua Rojas, founder of Ted Cruz 2016 faceboo…",Joshua Rojas accident fund
"
$2,570 raised of $3,900                    ",https://www.gofundme.com/2d6mvn7w,"Milwaukee, WI",Insightful New Book on Gay Men and Their Relationship With Their Fath…,New Book on Gay Men & Their Fathers
"
$3,202 raised of $4,430                    ",https://www.gofundme.com/invest-in-your-democracy,"Haydenville, MA",Don't give up!  It's not too late -- now is the time to act.  Please join me!  H…,Save Our Democracy!
"
$1,775 raised of $1,500                    ",https://www.gofundme.com/4b-march-on-washington-hope-college,"Zeeland, MI",As Donald Trump begins his presidency it is of utmost importan…,"March on Washington, Hope College"
"
$1,245 raised of $20,000                    ",https://www.gofundme.com/grabthembytheballot,"Winooski, VT",Imagine the Guerrilla Girls nude! Grab Them By The Ballot (www.gr…,Grab Them By The Ballot
"
$640 raised of $1,500                    ",https://www.gofundme.com/help-tatiana-fight-fascism,"Fort Lee, NJ","The Cause   The Resistance is what I live for.  My current focus, much lik…",Help Tatiana Fight Fascism!
"
$3,961 raised of $4,500                    ",https://www.gofundme.com/restore-felon-voting-rights-in-fl,"Louisa, VA","Restore ex-Felon Voting Rights, Elect Florida's first POC Governor, and …",Restore Felon Voting Rights in FL
"
$1,802 raised of $50,000                    ",https://www.gofundme.com/BuyBackOurSenator,"Aurora, CO",WE ARE NOT RAISING MONEY FOR CORY GARDNER! All funds r…,Buy CO Senator Cory Gardner's vote!
"
$1,497 raised of $12,000                    ",https://www.gofundme.com/countrybeforeparty,"Beacon, NY",Our very democracy is under attack. The fact that Putin hacked our 20…,Make GOP Put Country Before Party
"
$85 raised of $5,000                    ",https://www.gofundme.com/20doug20,"Columbus, GA",20DOUG20  AMERICAN  I AM ANNOUNCING MY PARTICIPATI…,20DOUG20
"
$8,100 raised of $25,000                    ",https://www.gofundme.com/jeff-hower-family-memorial-fund,"Central City, NE",Jeff was called home to God's presence. It was earlier than any of …,Jeff Hower Family Memorial Fund
"
$13,580 raised of $20,000                    ",https://www.gofundme.com/ConstructingOurFuture,"Indianapolis, IN",NPR's All Things Considered and The Marshall Project have teamed up t…,Constructing Our Future
"
$8,589 raised of $25,000                    ",https://www.gofundme.com/future-of-gun-safety-david,"Houston, TX",***UPDATE  2/28/2019*** I am so grateful to the people who believe …,Future of Gun Safety - David's College Fund
"
$3,932 raised of $10,000                    ",https://www.gofundme.com/Searching-for-Occupy,"Austin, TX","Searching for Occupy    By Crystal Zevon  Last year, after years of signi…",Searching for Occupy
"
$1,654 raised of $1,634                    ",https://www.gofundme.com/updegrove,"Duluth, MN","A healthy, respectful debate is crucial to having a vibrant political party. …",Gov't Teacher and Bernie Delegate
"
$1,950 raised of $2,600                    ",https://www.gofundme.com/antifafestus,"Miami, FL",The United States is in a time of great sociopolitical upheaval now. Racis…,Antifascist Festival in the U.S.
"
$2,832 raised of $10,000                    ",https://www.gofundme.com/help-adam-bring-attention-to-grifters,"Harrisburg, PA",I’ve had an amazing run these past two and a half years. After spendi…,Help Adam Bring Attention To Grifters
"
£1,670 raised of £2,000                    ",https://www.gofundme.com/27z22ydg, ,most people will be aware by now of the untimely an tragic passing of T…,Tams Repatriation
"
$1,046 raised of $1,000                    ",https://www.gofundme.com/hu-cs-kickback,"Washington, DC",TL;DR - Donate directly to the GoFundMe  Get tickets here! - http…,HU CS Kickback
"
$2,145 raised of $2,000                    ",https://www.gofundme.com/aaronflipstexas,"Oakland, CA",Summary story: I believe our upcoming mid-term elections  are t…,Turn Texas Blue
"
$2,563 raised of $3,000                    ",https://www.gofundme.com/6w8z5g-support-third-party-ballot-access,"San Francisco, CA",Gloria La Riva — Peace and Freedom Party candidate for Governor 2018…,Support Third Party Ballot Access!
"
$8,015 raised of $6,000                    ",https://www.gofundme.com/chris039-ugandan-human-rights-mission,"Whitman, MA","Sometimes, talking a good game is enough... but not for me. It's time t…",Chris’ Ugandan Human Rights Mission
"
$2,020 raised of $3,503                    ",https://www.gofundme.com/kellycampaignschool,"Round Rock, TX","Dear friends,  On April 22, I received my official acceptance to attend the…",Kelly Darby Campaign School
"
$4,115 raised of $7,500                    ",https://www.gofundme.com/REST-in-Philly,"Philadelphia, PA","UPDATE: REST in Philly has welcomed Irene on June 23, 2017. …",REST in Philly
"
$100 raised of $150                    ",https://www.gofundme.com/tomb-of-the-unknown-soldier-wreath,"Benson, NC",The Johnston County Young Republicans will be participating i…,Tomb of the Unknown Soldier Wreath
"
$2,376 raised of $1,500                    ",https://www.gofundme.com/simon8,"Pittsburgh, PA","In 2015, Simon volunteered for 412 Food Rescue by helping pick up an…",Simon's birthday fundraiser: 412FR
"
$210 raised of $275                    ",https://www.gofundme.com/addendums-grassroots-art-amp-design,"Brooklyn, NY",Hi there! I'm working on a collaborative graphic design projec…,Addendums - Grassroots Art & Design
"
$3,610 raised of $3,000                    ",https://www.gofundme.com/29ssj5g,"Burbank, CA",Southern California Phoenix Project is aimed to re-energize the law abi…,So Cal Phoenix Project Pro 2A Rally
"
$2,670 raised of $5,000                    ",https://www.gofundme.com/TaxMarchChi,"Chicago, IL",Why doesn't the President pay taxes?  Where are his tax returns?  Inspir…,Trump Tax March Chicago
"
$5,967 raised of $50,000                    ",https://www.gofundme.com/2jkyjjw,"Waukesha, WI","￼On Friday, August 12, 2016 Reverend Joe Angel Medina left th…",Helping Pastor Joe #RIPREVJAM
"
$3,480 raised of $25,200                    ",https://www.gofundme.com/kickasspolitics,"Pasadena, CA",This is the crowd funding site for the KickAss Politics podcast.  KickAss …,KickAss Politics podcast
"
$5,173 raised of $5,000                    ",https://www.gofundme.com/river-swim-to-rage-against-cancer,"Minneapolis, MN",summary was NoneType,River Swim for Cancer Research
"
$2,610 raised of $2,500                    ",https://www.gofundme.com/jvxbp3qs,"Katy, TX","I'm Felicia Cravens, and I kick doors open.  For years, as a Republican ac…",Fishie for National Delegate
"
$7,441 raised of $15,000                    ",https://www.gofundme.com/a93tk8,"New York, NY","Our dearest friend Jane, 27 y.o. was critically wounded in an April 27t…",Medical Expenses for Jane
"
$10,975 raised of $8,375                    ",https://www.gofundme.com/2bmsphpw,"Littleton, CO",My name is Michael Brown - the former Under Secretary of Homela…,Keep A Disabled Vet In His Home
"
$2,485 raised of $4,000                    ",https://www.gofundme.com/yvonnedeanbailey,"Northwood, NH",My name is Yvonne Dean-Bailey and I am a Republican with a strong de…,Yvonne Dean-Bailey for State Rep
"
$6,533 raised of $5,000                    ",https://www.gofundme.com/11jcn8,"Berkeley, CA","The Opportunity In just one week, the Republican National Conventi…",send Mindful Leaders to RNC & DNC
"
$3,000 raised of $3,000                    ",https://www.gofundme.com/GetJeffToCleveland,"Portland, OR","I am a constitution loving tea party conservative, and I am running to …",Get me to the convention!
"
$2,635 raised of $10,000                    ",https://www.gofundme.com/charlotte-uprising-documentary-2vq7cs4,"Charlotte, NC",This documentary will follow the chronological account of the stree…,Charlotte UprisingDocumentary
"
$2,386 raised of $55.0M                    ",https://www.gofundme.com/FixFlintsWater,"Savannah, GA",2/4/19 Update After weeks of research and phone calls we dete…,We The People Will Fix The Flint Water Crisis
"
$3,105 raised of $5,000                    ",https://www.gofundme.com/help-bill-join-ok-bar-assn, ,"Every day, I see stories about people who need legal help.   Immigrants w…",Help Bill Join OK Bar Assn.
"
$3,704 raised of $5,000                    ",https://www.gofundme.com/jenetoDNC,"Colorado Springs, CO",I am deeply honored to have been elected as a Colorado Congression…,Send Delegate Jene' to Philly DNC
"
$2,000 raised of $2,500                    ",https://www.gofundme.com/gift-for-ron-fox,"Snohomish, WA","See that young man in the photo, that’s our dad.   In August of 1972 s…",Buy Back Ron's old Momento
"
$2,307 raised of $50,000                    ",https://www.gofundme.com/FreeBernieDVD,"San Francisco, CA",Help us win BIG in California and New Jersey by getting Bernie's mes…,Mass-produce FreeBernieDVD in CA NJ
"
$1,640 raised of $1,530                    ",https://www.gofundme.com/antitrumpad,"Fair Lawn, NJ","I'm an average guy from New Jersey, and just like you I loathe Donald Tr…",Let's Run an Anti-Trump Ad
"
$11,780 raised of $15,000                    ",https://www.gofundme.com/DadBrainTumor,"Redondo Beach, CA",UPDATE!...UPDATE!...UPDATE  4th of July 2016 CLICK HERE FOR MY …,UPDATE-Brain Tumor Medical Cost
"
$1,540 raised of $10,000                    ",https://www.gofundme.com/the-james-connolly-social-club,"Troy, NY",What We Are  All social change must begin somewhere and social chang…,The James Connolly Social Club
"
$3,700 raised of $10,000                    ",https://www.gofundme.com/2d48ru4,"Maryville, TN",Asalaam Alaykum warahmat'Allah wabarikatu.  Hello and thank to all o…,Muslims 4 Liberty National Outreach
"
$540 raised of $10,000                    ",https://www.gofundme.com/heather-and-trahern039s-miracle-ivf-fund,"Melfa, VA","My wife and best friend, Heather, is one of the most beautiful fun lovin…",Heather and Trahern's Miracle IVF Fund
"
$1,646 raised of $5,000                    ",https://www.gofundme.com/sbuqh68c,"Lakeland, FL",Democratic Socialist Party: DRAFT Bernie Sanders for Write-In  Click h…,**Project Write-In Bernie Sanders**
"
$80 raised of $5,000                    ",https://www.gofundme.com/Urgent-Cause---Save-California,"Squaw Valley, CA",Hello Patriots! My name is Walt Smith and I have lived in Californi…,Urgent Cause - Save California
"
$1,545 raised of $2,000                    ",https://www.gofundme.com/vote-indiana-register-5-campaign,"Indianapolis, IN",Bad Politicians Are Elected By People Who Don't Vote  The larges…,Vote Indiana - Register 5 Campaign
"
$2,207 raised of $5,000                    ",https://www.gofundme.com/RNCMedics,"Stevensville, MT",We have closed this campaign. If you are interested in supporting Street …,Rustbelt Street Medics RNC Response
"
$2,595 raised of $2,500                    ",https://www.gofundme.com/VP2020,"Williston, FL","￼ ￼On Election Night 2018, we all watched in horror as Republicans st…",Voter Protection 2020: MAKE EVERY VOTE COUNT
"
$415 raised of $880                    ",https://www.gofundme.com/help-floridian-felon-erica-racz-regain-her-vote,"Mc Farland, WI","As told by the Washington Post : In November, an overwhelming majori…",Help Floridian ExFelon Erica Racz Regain Her Vote!
"
$3,153 raised of $9,500                    ",https://www.gofundme.com/support-truthdig039s-coverage-at-the-usmex-border,"Santa Monica, CA",summary was NoneType,Support Truthdig's Coverage at the U.S.-Mex Border
"
$1,603 raised of $10,000                    ",https://www.gofundme.com/4-dimensions-one-body-music-video,"New York, NY",Representation is a very powerful tool and we are on a mission.  It's n…,4 Dimensions [Music Video]
"
$1,915 raised of $20,000                    ",https://www.gofundme.com/ip2xb4,"Austin, TX",America is the only country in the world that sentences children to di…,Freedom comes with a price?
